Original Name,Label,Generated Name
kelvin transport S.A.R.L.,kelvin,"""kelvin"""
nebula express,nebula,"""nebula"""
balsam logistics Austria,balsam,"""balsam"""
crater transport GmbH,crater,"""crater"""
quatro logistics AG,quatro,"""quatro"""
crater transport Sverige,crater,"""crater"""
nebula express Sverige,nebula,"""nebula"""
ambergris-transport Portugal,ambergris,"""ambergris"""
ypsilon-transport Suomi S.A.R.L.,ypsilon,"""ypsilon"""
granite-logistics Danmark,granite,"""granite"""
tamarind transport Österreich Ltd,tamarind,"""tamarind"""
delphi-logistics België,delphi,"""delphi"""
jaguar logistics USA,jaguar,"""jaguar"""
wharf-transport Belgique KG,wharf,"""wharf"""
canyon logistics GmbH & Co. KG,canyon,"""canyon"""
lyra logistik SARL,lyra,"""lyra"""
ultra-transport Luxembourg S.A.,ultra,"""ultra"""
xanthe logistics France GmbH & Co. KG,xanthe,"""xanthe"""
granite logistics UK SARL,granite,"""granite"""
vivid logistics Danmark GmbH,vivid,"""vivid"""
praxis logistik UK Ltd,praxis,"""praxis"""
jade logistics GmbH,jade,"""jade"""
banyan-transport S.A.,banyan,"""banyan"""
onyx transport KG,onyx,"""onyx"""
helio transport GmbH,helio,"""helio"""
laguna transportes AG,laguna,"""laguna"""
onyx transport,onyx,"""onyx"""
delphi-logistik Inc,delphi,"""delphi"""
gaia logistics GmbH & Co. KG,gaia,"""gaia"""
tango transport Spain B.V.,tango,"""tango"""
vanguard-transport België KGaA,vanguard,"""vanguard"""
vector freight S.A.,vector,"""vector"""
wharf transport B.V.,wharf,"""wharf"""
polar freight España S.L.,polar,"""polar"""
ibis transport Schweiz GmbH & Co. KG,ibis,"""ibis"""
sirocco logistique Österreich AG,sirocco,"""sirocco"""
kinetic transport Deutschland KG,kinetic,"""kinetic"""
fjordline logistics KG,fjordline,"""fjord"""
nebula logistique GmbH & Co. KG,nebula,"""nebula"""
quatro logistics,quatro,"""quatro"""
pacifica-logistik KG,pacifica,"""pacifica"""
riviera-transport,riviera,"""riviera"""
sequoia-transp. Czechia,sequoia,"""sequoia"""
drift logistik GmbH,drift,"""drift"""
zenon logistik UK KG,zenon,"""zenon"""
equator logistics,equator,"""equator"""
jasper logistics Nederland S.L.,jasper,"""jasper"""
ibis transport Nederland,ibis,"""ibis"""
canyon logistics S.L.,canyon,"""canyon"""
yukari-transport S.A.R.L.,yukari,"""yukari"""
desert-transportes KG,desert,"""desert"""
kelvin transport Suomi,kelvin,"""kelvin"""
redwood transport S.L.,redwood,"""redwood"""
quince transport AG,quince,"""quince"""
solstice express Österreich,solstice,"""solstice"""
bengal express UK,bengal,"""bengal"""
mirage transport GmbH,mirage,"""mirage"""
quantum transport Ltd,quantum,"""quantum"""
horizon transport S.L.,horizon,"""horizon"""
baltoro-logistics B.V.,baltoro,"""baltoro"""
rapids logistics Austria SARL,rapids,"""rapids"""
delta freight Schweiz,delta,"""delta"""
zonda logistics Deutschland Inc,zonda,"""zonda"""
drift logistik AG,drift,"""drift"""
zenon logistik Switzerland GmbH,zenon,"""zenon"""
helium-logistik GmbH & Co. KG,helium,"""helium"""
rapids-logistics,rapids,"""rapids"""
falcon-transport AG,falcon,"""falcon"""
ibis transport Spain S.A.,ibis,"""ibis"""
horizon-transport GmbH,horizon,"""horizon"""
ripple logistik,ripple,"""ripple"""
obsidian-logistics Suomi S.A.R.L.,obsidian,"""obsidian"""
granite logistics Austria S.A.R.L.,granite,"""granite"""
willow logistics KG,willow,"""willow"""
sierra logistics B.V.,sierra,"""sierra"""
zenon-logistik Polska,zenon,"""zenon"""
emberline transport,emberline,"""emberline"""
solstice logistics Czechia KGaA,solstice,"""solstice"""
xenon logistics Deutschland GmbH & Co. KG,xenon,"""xenon"""
zanzibar transportes UK Inc,zanzibar,"""zanzibar"""
barley logistics GmbH & Co. KG,barley,"""barley"""
eider transport,eider,"""eider"""
laguna transportes SARL,laguna,"""laguna"""
yonder-logistik Sverige,yonder,"""yonder"""
mirage transport Deutschland S.A.R.L.,mirage,"""mirage"""
ultra transport GmbH & Co. KG,ultra,"""ultra"""
yukon transport Danmark GmbH & Co. KG,yukon,"""yukon"""
everest logistik S.L.,everest,"""everest"""
ambergris transport Portugal Ltd,ambergris,"""ambergris"""
tundra transport B.V.,tundra,"""tundra"""
nebula-logistique,nebula,"""nebula"""
tamarind transport,tamarind,"""tamarind"""
bengal express Italy,bengal,"""bengal"""
fjord transport B.V.,fjord,"""fjord"""
zenon-logistik France,zenon,"""zenon"""
titan transport,titan,"""titan"""
everest logistik AG,everest,"""everest"""
lyra-logistics Austria SARL,lyra,"""lyra"""
umbriel logistics,umbriel,"""umbriel"""
yukon transport Luxembourg GmbH,yukon,"""yukon"""
cumulus logistics Portugal SARL,cumulus,"""cumulus"""
zanzibar-transportes Schweiz KG,zanzibar,"""zanzibar"""
silverline logistik Portugal GmbH & Co. KG,silverline,"""silverline"""
ionia logistik België KGaA,ionia,"""ionia"""
ion express Danmark GmbH,ion,"""ion"""
amber-transport Italia GmbH & Co. KG,amber,"""amber"""
palmar transportes B.V.,palmar,"""palmar"""
pacifica logistik France B.V.,pacifica,"""pacifica"""
horizon transport KG,horizon,"""horizon"""
ambergris transport,ambergris,"""ambergris"""
firenza express Italia AG,firenza,"""firenza"""
titan transport KGaA,titan,"""titan"""
gaia logistics Nederland,gaia,"""gaia"""
fjordline logistics Luxembourg B.V.,fjordline,"""fjord"""
harbor express GmbH & Co. KG,harbor,"""harbor"""
elm logistics Schweiz KGaA,elm,"""elm"""
gaia logistics Deutschland S.L.,gaia,"""gaia"""
vector freight USA GmbH & Co. KG,vector,"""vector"""
caldera-transport GmbH & Co. KG,caldera,"""caldera"""
solstice logistics France,solstice,"""solstice"""
horizon transport France Inc,horizon,"""horizon"""
jurassic logistics Norge AG,jurassic,"""jurassic"""
delta freight S.A.R.L.,delta,"""delta"""
mono transport Polska KG,mono,"""mono"""
umbriel logistics Czechia GmbH & Co. KG,umbriel,"""umbriel"""
zircon logistics Česko GmbH & Co. KG,zircon,"""zircon"""
umbriel logistics S.A.R.L.,umbriel,"""umbriel"""
prairie logistics Sverige S.A.,prairie,"""prairie"""
umbra logistics AG,umbra,"""umbra"""
ambergris transport België,ambergris,"""ambergris"""
nebula logistique B.V.,nebula,"""nebula"""
jasper logistics Schweiz AG,jasper,"""jasper"""
mesa transportes Ltd,mesa,"""mesa"""
kinetic transport Switzerland GmbH & Co. KG,kinetic,"""kinetic"""
umbra logistics KG,umbra,"""umbra"""
atlas logistics group KG,atlas,"""atlas"""
baltoro logistics Italy SARL,baltoro,"""baltoro"""
xylem transport USA,xylem,"""xylen"""
pacifica logistik S.A.,pacifica,"""pacifica"""
umbriel-logistics S.L.,umbriel,"""umbriel"""
ruffian logistics Austria,ruffian,"""ruffian"""
magma transport KG,magma,"""magma"""
vivid logistics KG,vivid,"""vivid"""
harbor express Spain,harbor,"""harbor"""
mono-transport Österreich AG,mono,"""mono"""
firenza-express,firenza,"""firas"""
mirage transport S.L.,mirage,"""mirage"""
jurassic-logistik GmbH & Co. KG,jurassic,"""jurassic"""
yukon-transport AG,yukon,"""yukon"""
mono transport België GmbH & Co. KG,mono,"""mono"""
nebula-express GmbH & Co. KG,nebula,"""nebula"""
titan transport GmbH & Co. KG,titan,"""titan"""
jasper logistics UK KG,jasper,"""jasper"""
terra-transport Czechia S.L.,terra,"""terra"""
tundra transportes S.L.,tundra,"""tundra"""
falcon transport Inc,falcon,"""falcon"""
banyan transport Switzerland,banyan,"""banyan"""
ionia logistics AG,ionia,"""ionia"""
delta freight Portugal B.V.,delta,"""delta"""
alpine freight,alpine,"""alpine"""
meridian-logistics España KG,meridian,"""meridian"""
quartz transport GmbH & Co. KG,quartz,"""quartz"""
hadrian logistics UK GmbH & Co. KG,hadrian,"""hadrian"""
waratah-logistics Österreich KG,waratah,"""waratah"""
quatro logistik UK,quatro,"""quatro"""
nylon logistics Belgique,nylon,"""nylon"""
magma-transport GmbH & Co. KG,magma,"""magma"""
kelvin transport Polska,kelvin,"""kelvin"""
vector freight KGaA,vector,"""vector"""
nylon-logistics GmbH & Co. KG,nylon,"""nylon"""
hadrian logistics Deutschland,hadrian,"""hadrian"""
desert transportes Nederland S.A.R.L.,desert,"""desert"""
lilac logistics B.V.,lilac,"""lilac"""
cascade logistik,cascade,"""cascade"""
ripple-logistik S.A.,ripple,"""ripple"""
falcon-transport GmbH & Co. KG,falcon,"""falcon"""
gamma transport UK,gamma,"""gamma"""
falcon transport Polska,falcon,"""falcon"""
glacier logistik Sverige Inc,glacier,"""glacier"""
ambergris transport Spain,ambergris,"""ambergris"""
vortex transport,vortex,"""vortex"""
dorsal logistics Inc,dorsal,"""dorsal"""
kaldera transport GmbH & Co. KG,kaldera,"""kaldera"""
keystone-transport GmbH,keystone,"""keystone"""
cascade logistik S.L.,cascade,"""cascade"""
tamarind-transport USA GmbH & Co. KG,tamarind,"""tamarind"""
obsidian logistics KGaA,obsidian,"""obsidian"""
coral transport GmbH,coral,"""coral"""
wharf transport Nederland,wharf,"""wharf"""
sahara transport Schweiz,sahara,"""sahara"""
sirocco logistique,sirocco,"""sirocco"""
wildwood transport SARL,wildwood,"""wildwood"""
orbis transport UK Inc,orbis,"""orbis"""
fjord-transport Italia,fjord,"""fjord"""
falcon transport S.A.R.L.,falcon,"""falcon"""
riviera-transport KG,riviera,"""riviera"""
tundra-transportes UK S.A.R.L.,tundra,"""tundra"""
gobi transportes,gobi,"""gobi"""
tundra transportes Ltd,tundra,"""tundra"""
ionia logistics Italia,ionia,"""ionia"""
cumulus logistik GmbH & Co. KG,cumulus,"""cumulus"""
vanguard-transportes UK,vanguard,"""vanguard"""
ionia logistics Italy S.A.,ionia,"""ionia"""
mirage transport GmbH,mirage,"""mirage"""
wildwood-transport,wildwood,"""wildwood"""
nebula logistique Spain GmbH,nebula,"""nebula"""
yukon transport Switzerland Ltd,yukon,"""yukon"""
ionia-logistik,ionia,"""ionia"""
cumulus logistics GmbH,cumulus,"""cumulus"""
bengal express KGaA,bengal,"""bengal"""
zenon logistik KG,zenon,"""zenon"""
magma transport Österreich,magma,"""magma"""
drift logistics USA GmbH & Co. KG,drift,"""drift"""
granite logistics Inc,granite,"""granite"""
ember transport KGaA,ember,"""ember"""
zircon-logistics,zircon,"""zircon"""
waratah logistics SARL,waratah,"""waratah"""
cumulus logistics AG,cumulus,"""cumulus"""
gaia logistik S.L.,gaia,"""gaia"""
vortex transport,vortex,"""vortex"""
wildwood transport KGaA,wildwood,"""wildwood"""
niagara-logistics Switzerland S.A.R.L.,niagara,"""niagara"""
jasper-logistik S.A.R.L.,jasper,"""jasper"""
glacier logistik Suomi SARL,glacier,"""glacier"""
auric-logistik Belgique KGaA,auric,"""auric"""
yara transport Sverige S.A.,yara,"""yara"""
palmar transportes KGaA,palmar,"""palmar"""
emberline transport Italy,emberline,"""emberline"""
fjordline-logistics België GmbH & Co. KG,fjordline,"""fjord"""
vector freight Polska,vector,"""vector"""
hadrian-logistics Switzerland AG,hadrian,"""hadrian"""
harbor express S.A.R.L.,harbor,"""harbor"""
drift logistics Deutschland,drift,"""drift"""
riviera transport SARL,riviera,"""riviera"""
canyon logistics Switzerland S.L.,canyon,"""canyon"""
vector freight Switzerland SARL,vector,"""vector"""
hadrian logistik GmbH & Co. KG,hadrian,"""hadrian"""
whisper transport GmbH,whisper,"""whisper"""
nocturne logistik,nocturne,"""nocturne"""
whisper transport S.A.R.L.,whisper,"""whisper"""
vanguard-transp.,vanguard,"""vanguard"""
xanthe logistics Inc,xanthe,"""xanthe"""
crater transport AG,crater,"""crater"""
banyan transport France,banyan,"""banyan"""
valhalla logistics Österreich AG,valhalla,"""valhalla"""
whisper-transport GmbH,whisper,"""whisper"""
praxis-logistics,praxis,"""praxis"""
ionia logistik S.A.,ionia,"""ionia"""
boreal transport Portugal Ltd,boreal,"""boreal"""
horizon transport Česko KGaA,horizon,"""horizon"""
polar freight,polar,"""polar"""
palmar-transportes UK GmbH,palmar,"""palmar"""
vortex transport France AG,vortex,"""vortex"""
granada transportes Polska GmbH,granada,"""granada"""
magma transport Italy KGaA,magma,"""magma"""
helium logistik Ltd,helium,"""helium"""
elm logistics België,elm,"""elm"""
rapids-logistics Portugal AG,rapids,"""rapids"""
kasbah transport Austria,kasbah,"""kasbah"""
ripple-logistics,ripple,"""ripple"""
mono transport KG,mono,"""mono"""
meridian logistics UK AG,meridian,"""meridian"""
prairie logistics Belgique,prairie,"""prairie"""
cascade logistik KGaA,cascade,"""cascade"""
eider transport Deutschland,eider,"""eider"""
folium logistics,folium,"""folium"""
atlas-logistics group B.V.,atlas,"""atlas"""
drift-logistics S.L.,drift,"""drift"""
ibis transport KGaA,ibis,"""ibis"""
canyon logistics GmbH & Co. KG,canyon,"""canyon"""
bengal express Inc,bengal,"""bengal"""
topaz logistics Schweiz Inc,topaz,"""topaz"""
gamma transport Belgique S.A.,gamma,"""gamma"""
falcon transport S.A.,falcon,"""falcon"""
harbor-express SARL,harbor,"""harbor"""
sapphire transport Belgique,sapphire,"""sapphire"""
terra transport Norge S.L.,terra,"""terra"""
helio transport GmbH & Co. KG,helio,"""helio"""
ultra transport Norge S.L.,ultra,"""ultra"""
nocturne-logistik GmbH & Co. KG,nocturne,"""nocturne"""
caldera-transport Luxembourg KGaA,caldera,"""caldera"""
inkwell transport Ltd,inkwell,"""inkwell"""
mirage transport Österreich,mirage,"""mirage"""
drift logistics België,drift,"""drift"""
zonda-logistics S.A.R.L.,zonda,"""zonda"""
opal transport GmbH & Co. KG,opal,"""opal"""
quatro-logistik B.V.,quatro,"""quatro"""
jurassic logistik,jurassic,"""jurassic"""
helium-logistics GmbH & Co. KG,helium,"""helium"""
helio transport GmbH & Co. KG,helio,"""helio"""
helio transport,helio,"""helio"""
ember transport KG,ember,"""ember"""
helio transport Sverige,helio,"""helio"""
ibis transport France,ibis,"""ibis"""
pacifica logistics UK,pacifica,"""pacifica"""
helio transport Inc,helio,"""helio"""
tamarind transport Czechia GmbH & Co. KG,tamarind,"""tamarind"""
solara transport Portugal,solara,"""solara"""
fjordline logistics Česko KG,fjordline,"""fjord"""
umbra express Italy AG,umbra,"""umbra"""
ambergris transport,ambergris,"""ambergris"""
onyx transport GmbH & Co. KG,onyx,"""onyx"""
alpine freight Belgique GmbH,alpine,"""alpine"""
sequoia transporte Spain S.A.R.L.,sequoia,"""sequoia"""
baltoro-logistik,baltoro,"""baltoro"""
kelvin transport,kelvin,"""kelvin"""
silverline logistics España S.A.,silverline,"""silverline"""
praxis logistics,praxis,"""praxis"""
wildwood-transport Italy GmbH & Co. KG,wildwood,"""wildwood"""
banyan transport Suomi,banyan,"""banyan"""
nebula logistik,nebula,"""nebula"""
zephyr logistics France S.L.,zephyr,"""zephyr"""
zanzibar transp.,zanzibar,"""zanzibar"""
kinetic-transport B.V.,kinetic,"""kinetic"""
atlas logistics group Deutschland GmbH,atlas,"""atlas"""
ultra transport Belgique,ultra,"""ultra"""
niagara-logistics GmbH & Co. KG,niagara,"""niagara"""
everest logistics France B.V.,everest,"""everest"""
vivid logistics Austria KG,vivid,"""vivid"""
fjordline logistics,fjordline,"""fjord"""
nebula logistik Österreich,nebula,"""nebula"""
boreal-transport Suomi S.A.R.L.,boreal,"""boreal"""
ion express,ion,"""ion"""
eider-transport GmbH & Co. KG,eider,"""eider"""
zenon logistik GmbH & Co. KG,zenon,"""zenon"""
cedar transport S.A.R.L.,cedar,"""cedar"""
horizon transport GmbH & Co. KG,horizon,"""horizon"""
kasbah-transport UK,kasbah,"""kasbah"""
amber transport Italy,amber,"""amber"""
niagara-logistics Sverige,niagara,"""niagara"""
ember transport S.A.,ember,"""ember"""
sequoia transporte Inc,sequoia,"""sequoia"""
nebula-logistik B.V.,nebula,"""nebula"""
baltoro logistics,baltoro,"""baltoro"""
ibis transport Sverige GmbH & Co. KG,ibis,"""ibis"""
vector freight Czechia,vector,"""vector"""
quatro logistics GmbH & Co. KG,quatro,"""quatro"""
ibiza transportes Italy,ibiza,"""ibiza"""
yukon transport Česko SARL,yukon,"""yukon"""
ember-transport Austria GmbH & Co. KG,ember,"""ember"""
xanthe logistics Schweiz Inc,xanthe,"""xanthe"""
delphi logistics Inc,delphi,"""delphi"""
wildwood transport Schweiz KGaA,wildwood,"""wildwood"""
lotus-logistics Sverige Inc,lotus,"""lotus"""
cedar transport Sverige GmbH & Co. KG,cedar,"""cedar"""
orbis-transport S.L.,orbis,"""orbis"""
quince transport Italy,quince,"""quince"""
prairie logistik S.A.R.L.,prairie,"""prairie"""
xenon-logistics Switzerland,xenon,"""xenon"""
riviera transport KGaA,riviera,"""riviera"""
mirage transport,mirage,"""mirage"""
xenon logistics,xenon,"""xenon"""
jade logistics GmbH & Co. KG,jade,"""jade"""
fractal logistik SARL,fractal,"""fractal"""
jaguar logistics GmbH,jaguar,"""jaguar"""
kelvin-transport Italia KGaA,kelvin,"""kelvin"""
dorsal logistics AG,dorsal,"""dorsal"""
granada transp. GmbH & Co. KG,granada,"""granada"""
prairie logistics S.A.R.L.,prairie,"""prairie"""
terra transport Suomi SARL,terra,"""terra"""
topaz logistics,topaz,"""topaz"""
cedar transport,cedar,"""cedar"""
apollo transport,apollo,"""apollo"""
eider transport Ltd,eider,"""eider"""
delphi logistik,delphi,"""delphi"""
laguna transportes België,laguna,"""laguna"""
solara transport,solara,"""solara"""
jasper logistics B.V.,jasper,"""jasper"""
xenon-logistics,xenon,"""xenon"""
banyan transport USA,banyan,"""banyan"""
silverline logistics S.A.,silverline,"""silverline"""
cedar transport SARL,cedar,"""cedar"""
zephyr logistics Portugal,zephyr,"""zephyr"""
yukari transport België,yukari,"""yukari"""
jasper logistics GmbH,jasper,"""jasper"""
yonder logistics,yonder,"""yonder"""
nocturne logistics GmbH,nocturne,"""nocturne"""
falcon transport GmbH & Co. KG,falcon,"""falcon"""
dorsal logistics France GmbH,dorsal,"""dorsal"""
bengal express België,bengal,"""bengal"""
prairie logistics,prairie,"""prairie"""
pendulum logistics,pendulum,"""pendulum"""
quantum transport SARL,quantum,"""quantum"""
falcon transport AG,falcon,"""falcon"""
fractal logistics GmbH & Co. KG,fractal,"""fractal"""
quatro logistics KG,quatro,"""quatro"""
jurassic logistics Inc,jurassic,"""jurassic"""
fjordline-logistics USA GmbH & Co. KG,fjordline,"""fjord"""
mono transport,mono,"""mono"""
auric logistik B.V.,auric,"""auric"""
mirage transport,mirage,"""mirage"""
tango-transport,tango,"""tango"""
zircon logistics Inc,zircon,"""zircon"""
firenza-express België B.V.,firenza,"""firasina"""
zephyr logistik KG,zephyr,"""zephyr"""
desert transportes Norge,desert,"""desert"""
helio-transport Austria GmbH & Co. KG,helio,"""helio"""
lemur logistics,lemur,"""lemur"""
magma transport Spain S.A.,magma,"""magma"""
umbra-logistics GmbH,umbra,"""umbra"""
quasar transport Suomi,quasar,"""quasar"""
kaldera transport Danmark KGaA,kaldera,"""kaldera"""
ultra express SARL,ultra,"""ultra"""
meridian logistics Nederland Ltd,meridian,"""meridian"""
alpine freight,alpine,"""alpine"""
solara transport Česko GmbH & Co. KG,solara,"""solara"""
willow logistik GmbH & Co. KG,willow,"""willow"""
prairie logistics GmbH & Co. KG,prairie,"""prairie"""
tango transport GmbH,tango,"""tango"""
sierra logistics Danmark Inc,sierra,"""sierra"""
quartz transport Czechia SARL,quartz,"""quartz"""
ember transport GmbH & Co. KG,ember,"""ember"""
nebula express,nebula,"""nebula"""
fjordline logistics USA S.A.,fjordline,"""fjord"""
tamarind transport Inc,tamarind,"""tamarind"""
dorsal-logistik GmbH,dorsal,"""dorsal"""
whisper-transport Sverige GmbH & Co. KG,whisper,"""whisper"""
jasper-logistics Spain KG,jasper,"""jasper"""
delta freight S.A.,delta,"""delta"""
xanthe logistics GmbH,xanthe,"""xanthe"""
glacier logistik Deutschland GmbH,glacier,"""glacier"""
cedar-transport KGaA,cedar,"""cedar"""
